Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-less-than-97/47.21278--124.204506,1192,1434,317,358,0.8420758928571429,10
everywhere-less-than-97/32.840736--117.249695-minmag1,523,992,735,800,0.7020089285714286,10
everywhere-less-than-97/-31.203699--71.000298,1396,1400,136,136,0.9973958333333334,10
everywhere-less-than-97/35.526001--90.442001,67,92,99,164,0.6484375,10
everywhere-less-than-97/46.952473--124.159492,960,1335,176,201,0.7395833333333334,10
everywhere-less-than-97/33.357243--116.85955,341,1033,723,1015,0.51953125,10
everywhere-less-than-97/43.090302--124.409302,1187,1376,114,160,0.8470052083333334,10
everywhere-less-than-97/33.607201--116.6996-minmag1,1155,1248,966,1056,0.9205729166666666,10
everywhere-less-than-97/48.7201--122.706299,1247,1347,139,189,0.90234375,10
everywhere-less-than-97/33.375591--116.620842,368,963,660,829,0.5736607142857143,10
everywhere-less-than-97/33.612148--116.457619,355,1257,950,1047,0.56640625,10
everywhere-less-than-97/38.457401--118.7658,1356,1373,930,931,0.9921875,10
everywhere-less-than-97/43.701279--124.107513,852,1084,118,196,0.7578125,10
everywhere-less-than-97/15.318176--91.502541,925,1355,411,437,0.7455357142857143,10
everywhere-less-than-97/17.552-120.455002,726,812,182,212,0.88671875,10
everywhere-less-than-97/19.373785--155.2155,1203,1271,942,1033,0.9309895833333334,10
everywhere-less-than-97/38.02515--122.096146,625,834,817,958,0.8046875,10
everywhere-less-than-97/39.721161--111.824799,102,108,145,148,0.96484375,10
everywhere-less-than-97/32.618412--116.590866,415,678,508,858,0.6009114583333334,10
everywhere-less-than-97/38.559807--122.65844,422,705,293,319,0.6982421875,10
everywhere-less-than-97/60.858398--148.333405,1024,1223,685,825,0.83447265625,10
everywhere-less-than-97/33.260201--116.322304-minmag1,1429,1499,1042,1061,0.965234375,10
everywhere-less-than-97/36.32098--119.382263,119,131,124,125,0.94921875,10
everywhere-less-than-97/16.066957--61.611076,1328,1440,87,96,0.9212239583333334,10
everywhere-less-than-97/35.953548--96.772636,1341,1417,475,631,0.88671875,10
everywhere-less-than-97/37.947201--114.491402,143,1370,635,678,0.3798828125,10
everywhere-less-than-97/37.197968--97.879379,1507,1530,1016,1030,0.985546875,10
everywhere-less-than-97/33.030064--116.085335,345,981,932,1067,0.62353515625,10
everywhere-less-than-97/37.248001--97.858597,947,970,787,822,0.9676339285714286,10
everywhere-less-than-97/-32.578602--71.452797,189,204,275,308,0.90625,10
everywhere-less-than-97/47.5751--122.417603,1333,1405,105,131,0.9361979166666666,10
